hit_type,marker_id,sent_id,token_idx,token_end_idx,target_lemma,target_surface,sent_text,prev_sent_text,next_sent_text,context_window,overlaps_phrase,phrase_overlap_ids,is_noise,noise_reason,count_in_main_stats,nested_overlap_with,candidate_id,drop_reason
PHRASE,PHR_113,26649,5,7,прикинуть ум,прикинув в уме,"И Григорий, тщательно проверив и прикинув в уме все возможные случайности, все, что непредвиденно могло помешать осуществлению его плана, выпил два стакана самогонки, не раздеваясь повалился на койку; покрыв голову влажной полой шинели, уснул мертвецки.","Все было просто, как в игре в шашки.",На следующий день около четырех часов утра красные цепи уже занимали Каргинскую.,"Все было просто, как в игре в шашки. И Григорий, тщательно проверив и прикинув в уме все возможные случайности, все, что непредвиденно могло помешать осуществлению его плана, выпил два стакана самогонки, не раздеваясь повалился на койку; покрыв голову влажной полой шинели, уснул мертвецки. На следующий день около четырех часов утра красные цепи уже занимали Каргинскую.",False,,False,,True,PHR_100,1,phrase_overlap_mode=prefer_longest
PHRASE,PHR_017,34124,4,5,крепко думать,крепко думать,"Ими ишо прийдется думать, крепко думать, как дальше быть…","У нас они, головы, хотя и дурные, но зря подставлять их под пули не надо.","Казаки подавленно молчали, потом загомонили все сразу, разноголосо и глухо:
— Опять старинка зачинается?","У нас они, головы, хотя и дурные, но зря подставлять их под пули не надо. Ими ишо прийдется думать, крепко думать, как дальше быть… Казаки подавленно молчали, потом загомонили все сразу, разноголосо и глухо:
— Опять старинка зачинается?",False,,False,,True,PHR_021,2,phrase_overlap_mode=prefer_longest
